word,len,pattern
aardvark,8,AABCDABE
Aaron,5,AABCD
aback,5,ABACD
abaft,5,ABACD
abalone,7,ABACDEF
abandon,7,ABACDEC
abandonment,11,ABACDECFGCH
abase,5,ABACD
abasement,9,ABACDEDFG
abash,5,ABACD
abashed,7,ABACDEF
abate,5,ABACD
abated,6,ABACDE
abatement,9,ABACDEDFC
abbe,4,ABBC
abbey,5,ABBCD
abbot,5,ABBCD
abbreviate,10,ABBCDEFAGD
abbreviated,11,ABBCDEFAGDH
abbreviates,11,ABBCDEFAGDH
abdicate,8,ABCDEAFG
abdomen,7,ABCDEFG
abdominal,9,ABCDEFGAH
abduct,6,ABCDEF
abduction,9,ABCDEFGHI
abductor,8,ABCDEFGH
Abe,3,ABC
abed,4,ABCD
aberrant,8,ABCDDAEF
aberration,10,ABCDDAEFGH
abet,4,ABCD
abetted,7,ABCDDCE
abetter,7,ABCDDCE
abetting,8,ABCDDEFG
abettor,7,ABCDDEF
abeyance,8,ABCDAEFC
abeyant,7,ABCDAEF
abhor,5,ABCDE
abhorred,8,ABCDEEFG
abhorrent,9,ABCDEEFGH
abhorrer,8,ABCDEEFE
>$18,4,ABCD
abhorring,9,ABCDEEFGH
abide,5,ABCDE
abiding,7,ABCDCEF
Abigail,7,ABCDACE
Abilene,7,ABCDEFE
ability,7,ABCDCEF
abject,6,ABCDEF
abjection,9,ABCDEFGHI
abjure,6,ABCDEF
ablate,6,ABCADE
ablative,8,ABCADEFG
ablaze,6,ABCADE
able,4,ABCD
ablution,8,ABCDEFGH
ably,4,ABCD
Abner,5,ABCDE
abnormal,8,ABCDEFAG
abnormality,11,ABCDEFAGHIJ
aboard,6,ABCADE
abode,5,ABCDE
abolish,7,ABCDEFG
abolishment,11,ABCDEFGHIJK
abolition,9,ABCDEFECG
abolitionist,12,ABCDEFECGEHF
abominable,10,ABCDEFABGH
abominate,9,ABCDEFAGH
aboriginal,10,ABCDEFEGAH
aborigine,9,ABCDEFEGH
aborning,8,ABCDEFEG
abort,5,ABCDE
abortion,8,ABCDEFCG
abortive,8,ABCDEFGH
abound,6,ABCDEF
about,5,ABCDE
above,5,ABCDE
aboveboard,10,ABCDEBCAFG
aboveground,11,ABCDEFGCHIJ
abrade,6,ABCADE
Abraham,7,ABCADAE
Abrams,6,ABCADE
Abramson,8,ABCADEFG
abrasion,8,ABCADEFG
abrasive,8,ABCADEFG
